id;nombre;apellido;correo;empresa;fechaNacimiento;sueldo;genero
215;Adela;Áviles;tomás.acevedo@prodigy.net.mx;"Ibarra; Ibarra y Ibarra Asociados S.A. de C.V.";1981-02-03;84.22;HOMBRE
216;Margarita;Villarreal;andrés.villalobos@hotmail.com;"Báez; Báez y Báez Asociados S.A. de C.V.";1981-02-04;42.5;HOMBRE
217;Carolina;Arellano;maría de lourdes.ayala@prodigy.net.mx;Pérez Pérez S.A.;1981-02-05;74.06;HOMBRE
218;Graciela;Cano;jorge alberto.de la torre@prodigy.net.mx;Cázares y Cázares S.R.L;1981-02-06;70.81;HOMBRE
219;NicolĂˇs;Godínez;benjamín.barajas@gmail.com;Reséndiz S.A. de C.V.;1981-02-07;77.71;HOMBRE
220;Vicente;Morán;arturo.cabrera@prodigy.net.mx;Colegio Santiago S.A.;1981-02-08;24.04;HOMBRE
221;RubĂ©n;Huerta;olivia.macías@gmail.com;Santana Santana S.A.;1981-02-09;7.45;HOMBRE
222;Susana;Luna;concepción.de león@yahoo.com;"Alonso; Alonso y Alonso Asociados S.A.";1981-02-10;7.7;HOMBRE
223;Julia;Bravo;angelina.valenzuela@hotmail.com;Quintero S.A.B.;1981-02-11;11.78;HOMBRE
224;Jorge Luis;Yáñez;agustín.aparicio@yahoo.com;Granados y Granados S.A.B.;1981-02-12;51.44;HOMBRE
225;Benito;Lara;lilia.ávalos@yahoo.com;Saucedo S.A. de C.V.;1981-02-13;52.25;HOMBRE
226;AgustĂ­n;Zamora;reyna.navarrete@hotmail.com;Colegio Ríos S.R.L;1981-02-14;86.04;HOMBRE
227;Elizabeth;Acosta;gerardo.velasco@hotmail.com;Sociedad Zavala S.R.L;1981-02-15;55.27;HOMBRE
228;Isidro;Bernal;celia.márquez@prodigy.net.mx;Leyva y Leyva S.A.B.;1981-02-16;60.57;HOMBRE
229;Francisco;Barragán;nicolás.dávila@hotmail.com;de León S.A.B.;1981-02-17;3.55;HOMBRE
230;MarĂ­a Elena;Álvarez;irene.alarcón@gmail.com;Escobedo S.A. de C.V.;1981-02-18;84.76;HOMBRE
231;Catalina;May;eva.lira@yahoo.com;Cortés y Cortés S.A. de C.V.;1981-02-19;86.63;HOMBRE
232;SofĂ­a;Peña;verónica.arellano@hotmail.com;Martínez y Martínez S.A.B.;1981-02-20;31.87;HOMBRE
233;Antonia;Hernández;moisés.madrigal@prodigy.net.mx;Sierra y Sierra S.C.;1981-02-21;50.32;HOMBRE
234;Ăngel;Santillán;josé antonio.campos@hotmail.com;Suárez S.C.;1981-02-22;27.7;HOMBRE
235;Ofelia;Mata;gustavo.ponce@yahoo.com;Herrera S.A.B.;1981-02-23;91.36;HOMBRE
236;Alicia;Zavala;margarita.miranda@prodigy.net.mx;Quezada S.R.L;1981-02-24;98.74;HOMBRE
237;Dolores;Gámez;ramiro.gallardo@gmail.com;"Arteaga; Arteaga y Arteaga Asociados S.A.B.";1981-02-25;79.61;HOMBRE
238;Rodolfo;Valencia;david.enríquez@hotmail.com;Barrios y Barrios S.A. de C.V.;1981-02-26;5.4;HOMBRE
239;Lorenzo;Rendón;óscar.rojas@yahoo.com;Cárdenas Cárdenas S.C.;1981-02-27;40.59;HOMBRE
240;Isabel;Benítez;roberto.vidal@yahoo.com;Esparza S.A.B.;1981-02-28;51.25;HOMBRE
241;Samuel;Zúñiga;sergio.soriano@yahoo.com;Grupo Financiero Rosales S.C.;1981-03-01;56.59;HOMBRE
242;Sergio;Soto;norma.magaña@prodigy.net.mx;Bernal y Bernal S.C.;1981-03-02;26.41;HOMBRE
243;Esperanza;Meléndez;laura.galindo@prodigy.net.mx;Grupo Alonso S.C.;1981-03-03;94.44;HOMBRE
244;Guillermo;Navarrete;maricela.saldaña@yahoo.com;Meléndez S.A.B.;1981-03-04;9.54;HOMBRE
245;Martha;Romo;dolores.antonio@yahoo.com;Castellanos S.A. de C.V.;1981-03-05;18.82;HOMBRE
246;Humberto;Gómez;maría.varela@prodigy.net.mx;Colegio Alarcón S.A. de C.V.;1981-03-06;48.59;HOMBRE
247;Joel;Nava;sandra.carranza@gmail.com;de la Torre S.A.B.;1981-03-07;17.19;HOMBRE
248;MarĂ­a Elena;Solano;víctor.granados@gmail.com;Muñoz S.A.;1981-03-08;53.7;HOMBRE
249;Agustina;Solís;césar.villarreal@gmail.com;"Francisco; Francisco y Francisco Asociados S.C.";1981-03-09;36.99;HOMBRE
250;Guadalupe;Monroy;irene.vásquez@gmail.com;Salas Salas S.R.L;1981-03-10;36.84;HOMBRE
251;Armando;Galicia;carolina.ordoñez@gmail.com;Sociedad Figueroa S.C.;1981-03-11;0.63;HOMBRE
252;Leticia;Gámez;julia.ramírez@gmail.com;"Galván; Galván y Galván Asociados S.A.";1981-03-12;1.29;HOMBRE
253;JosĂ© Alfredo;Ayala;juan carlos.alarcón@yahoo.com;Dávila Dávila S.A.;1981-03-13;23.7;HOMBRE
254;Gilberto;González;mercedes.piña@gmail.com;Sociedad Islas S.R.L;1981-03-14;30.11;HOMBRE
255;Mario;Zamora;edgar.vargas@prodigy.net.mx;Sociedad Mata S.A.;1981-03-15;66.31;HOMBRE
256;Julio;Ochoa;lilia.amador@hotmail.com;Hernández S.A.B.;1981-03-16;17.17;HOMBRE
257;JosĂ© Luis;Gallardo;edith.moreno@prodigy.net.mx;Armenta y Armenta S.A.;1981-03-17;17.01;HOMBRE
258;AgustĂ­n;Valle;celia.dávila@hotmail.com;Áviles Áviles S.R.L;1981-03-18;77.37;HOMBRE
259;Ă“scar;Santillán;lucía.huerta@hotmail.com;"Villarreal; Villarreal y Villarreal Asociados S.A.";1981-03-19;58.08;HOMBRE
260;Claudia;Islas;josé juan.segura@hotmail.com;Ortiz S.C.;1981-03-20;25.74;HOMBRE
261;SaĂşl;Guerrero;rosalba.santillán@prodigy.net.mx;"Fernández; Fernández y Fernández Asociados S.A.";1981-03-21;25.88;HOMBRE
262;JosĂ© Alfredo;Salazar;elena.molina@gmail.com;Grupo Aranda S.A.B.;1981-03-22;20.32;HOMBRE
263;Alfonso;Gallegos;eduardo.villarreal@prodigy.net.mx;"Jímenez; Jímenez y Jímenez Asociados S.R.L";1981-03-23;42.11;HOMBRE
264;Silvia;Marín;adriana.lópez@yahoo.com;Núñez S.A.;1981-03-24;70.76;HOMBRE
265;JosĂ© Juan;Zamora;marina.lugo@hotmail.com;Grupo Financiero Espinoza S.R.L;1981-03-25;1.16;HOMBRE
266;Jaime;Orozco;elvira.meza@gmail.com;Grupo Blanco S.C.;1981-03-26;58.47;HOMBRE
267;VerĂłnica;Félix;rodrigo.tapia@yahoo.com;Arias Arias S.C.;1981-03-27;3.09;HOMBRE
268;Celia;Zaragoza;juan carlos.piña@yahoo.com;Alarcón S.A.B.;1981-03-28;34.36;HOMBRE
269;Rosalba;Zúñiga;verónica.ventura@prodigy.net.mx;Santiago Santiago S.A.;1981-03-29;87.53;HOMBRE
270;Lilia;Colín;olivia.núñez@yahoo.com;Fondo Suárez S.A. de C.V.;1981-03-30;31.37;HOMBRE
271;Angelina;Alvarado;samuel.zamudio@yahoo.com;Corona S.C.;1981-03-31;62.67;HOMBRE
272;Carlos;Gallardo;carolina.navarro@hotmail.com;"Martínez; Martínez y Martínez Asociados S.R.L";1981-04-01;83.35;HOMBRE
273;Rodolfo;Valdés;julio césar.rendón@gmail.com;Arellano y Arellano S.A. de C.V.;1981-04-02;19.32;HOMBRE
274;Cecilia;Aparicio;socorro.gonzález@hotmail.com;Mora S.A. de C.V.;1981-04-03;92.45;HOMBRE
275;Alejandro;Domínguez;martha.zavala@yahoo.com;Lugo y Lugo S.A.B.;1981-04-04;48.95;HOMBRE
276;Luz MarĂ­a;Leal;tomás.ramos@hotmail.com;"Anaya; Anaya y Anaya Asociados S.A.B.";1981-04-05;58.48;HOMBRE
277;Teresa;Fuentes;víctor.carmona@gmail.com;Contreras S.R.L;1981-04-06;46.34;HOMBRE
278;Julia;Gálvez;guillermina.jaramillo@prodigy.net.mx;Medrano y Medrano S.A.;1981-04-07;28.73;HOMBRE
279;Isabel;Torres;pedro.escamilla@hotmail.com;Gómez Gómez S.A.B.;1981-04-08;14.33;HOMBRE
280;Sergio;Dávila;susana.esquivel@prodigy.net.mx;"Ávila; Ávila y Ávila Asociados S.C.";1981-04-09;60.07;HOMBRE
281;Armando;Ávalos;hugo.salinas@prodigy.net.mx;Sociedad Contreras S.A. de C.V.;1981-04-10;14.57;HOMBRE
282;Raymundo;Román;carolina.castro@gmail.com;Cabrera y Cabrera S.R.L;1981-04-11;1.91;HOMBRE
283;Virginia;Vázquez;lilia.herrera@yahoo.com;Carrillo S.A. de C.V.;1981-04-12;32.97;HOMBRE
284;SaĂşl;Cisneros;miguel.de la torre@yahoo.com;"Vargas; Vargas y Vargas Asociados S.A.B.";1981-04-13;12.35;HOMBRE
285;HĂ©ctor;Yáñez;ana maría.carrera@gmail.com;Murillo y Murillo S.A. de C.V.;1981-04-14;80.98;HOMBRE
286;Javier;Quiroz;tomás.gálvez@yahoo.com;Aguirre y Aguirre S.A.B.;1981-04-15;47.34;HOMBRE
287;HĂ©ctor;Espinosa;elena.arreola@gmail.com;Vásquez S.A. de C.V.;1981-04-16;9.12;HOMBRE
288;Carmen;Aguilera;ana maría.molina@prodigy.net.mx;"Arroyo; Arroyo y Arroyo Asociados S.R.L";1981-04-17;7.78;HOMBRE
289;Celia;Bonilla;ignacio.trujillo@yahoo.com;Ramos S.R.L;1981-04-18;11.76;HOMBRE
290;RaĂşl;Macías;eduardo.de la rosa@hotmail.com;Padilla Padilla S.R.L;1981-04-19;69.77;HOMBRE
291;Gabriela;Lira;ángela.franco@gmail.com;"Barrera; Barrera y Barrera Asociados S.A.";1981-04-20;92.51;HOMBRE
292;Francisca;Galindo;armando.monroy@prodigy.net.mx;Gallegos S.R.L;1981-04-21;42.7;HOMBRE
293;Luis Alberto;Flores;juan carlos.vargas@prodigy.net.mx;May May S.A.B.;1981-04-22;98.92;HOMBRE
294;SofĂ­a;Rivas;laura.carbajal@yahoo.com;Mata Mata S.R.L;1981-04-23;17.32;HOMBRE
295;Mariana;del Ángel;elizabeth.núñez@prodigy.net.mx;Yáñez S.C.;1981-04-24;28.35;HOMBRE
296;Eduardo;Cortés;rosa.vargas@yahoo.com;"Madrigal; Madrigal y Madrigal Asociados S.A.";1981-04-25;56;HOMBRE
297;Araceli;Cisneros;angelina.del ángel@yahoo.com;Carbajal S.A. de C.V.;1981-04-26;31.4;HOMBRE
298;Virginia;Estrada;raquel.vázquez@yahoo.com;Grupo Financiero Hidalgo S.A.B.;1981-04-27;98.25;HOMBRE
299;JosĂ©;Mora;leticia.castellanos@hotmail.com;Córdova S.A. de C.V.;1981-04-28;65.72;HOMBRE
300;Juan Carlos;Delgado;maría de lourdes.flores@yahoo.com;Fondo Peralta S.A.;1981-04-29;73.78;HOMBRE
301;Pedro;Molina;adela.murillo@prodigy.net.mx;de León S.C.;1981-04-30;73.8;HOMBRE
302;Abel;Hernández;sandra.segura@yahoo.com;Santillán y Santillán S.C.;1981-05-01;29.4;HOMBRE
303;Raquel;Villanueva;marcela.pacheco@yahoo.com;Carrera y Carrera S.A.;1981-05-02;10.64;HOMBRE
304;FĂ©lix;Venegas;mercedes.rivera@yahoo.com;Grupo Financiero Estrada S.A. de C.V.;1981-05-03;44.5;HOMBRE
305;Eduardo;Carrera;consuelo.santiago@prodigy.net.mx;Soriano S.A.B.;1981-05-04;38.37;HOMBRE
306;Esperanza;Becerra;ernesto.varela@hotmail.com;Báez Báez S.A.;1981-05-05;69.41;HOMBRE
307;Rafael;de Jesús;miriam.molina@hotmail.com;Pacheco Pacheco S.A. de C.V.;1981-05-06;37.67;HOMBRE
308;David;Medina;guillermo.delgado@gmail.com;"Rivera; Rivera y Rivera Asociados S.A.";1981-05-07;21.68;HOMBRE
309;VerĂłnica;Chávez;edgar.piña@prodigy.net.mx;Mendoza y Mendoza S.C.;1981-05-08;84;HOMBRE
310;Enrique;Salas;rafael.aguirre@prodigy.net.mx;Grupo Ávalos S.R.L;1981-05-09;95.04;HOMBRE
311;Humberto;Leyva;leticia.venegas@hotmail.com;Luna S.R.L;1981-05-10;67.58;HOMBRE
312;Angelina;Marín;gregorio.domínguez@yahoo.com;Villarreal y Villarreal S.R.L;1981-05-11;14.06;HOMBRE
313;Micaela;Meza;juan antonio.bautista@yahoo.com;Fondo Sánchez S.R.L;1981-05-12;39.71;HOMBRE
314;Humberto;Guevara;pedro.hurtado@yahoo.com;"Quiroz; Quiroz y Quiroz Asociados S.A. de C.V.";1981-05-13;24.95;HOMBRE
315;Edgar;Arteaga;arturo.de jesús@prodigy.net.mx;Fondo Salgado S.R.L;1981-05-14;77.55;HOMBRE
316;Samuel;Solís;isabel.sierra@hotmail.com;Zepeda y Zepeda S.A.;1981-05-15;76.77;HOMBRE
317;Julio CĂ©sar;Ortega;angélica.pérez@hotmail.com;Durán y Durán S.A.B.;1981-05-16;29.61;HOMBRE
318;Jaime;Báez;manuel.granados@yahoo.com;Francisco S.A. de C.V.;1981-05-17;81.41;HOMBRE
319;Fernando;Cordero;josé.osorio@prodigy.net.mx;Segura y Segura S.A. de C.V.;1981-05-18;35.16;HOMBRE
320;NicolĂˇs;Islas;esteban.ventura@hotmail.com;"Cano; Cano y Cano Asociados S.A. de C.V.";1981-05-19;61.49;HOMBRE
321;Sergio;Garduño;silvia.ángeles@gmail.com;"Vega; Vega y Vega Asociados S.R.L";1981-05-20;71.19;HOMBRE
322;Lilia;Valdés;omar.solano@gmail.com;May y May S.A.;1981-05-21;7.68;HOMBRE
323;Adela;Cisneros;marcos.castellanos@prodigy.net.mx;Espinoza Espinoza S.A.B.;1981-05-22;37.7;HOMBRE
324;Salvador;Leal;alfredo.monroy@prodigy.net.mx;Orozco Orozco S.A.;1981-05-23;77.97;HOMBRE
325;Araceli;Medina;gabriela.santana@gmail.com;Caballero S.R.L;1981-05-24;29.62;HOMBRE
326;MarĂ­a de Lourdes;Magaña;edgar.velasco@gmail.com;Fondo Saldaña S.A. de C.V.;1981-05-25;26.35;HOMBRE
327;MarĂ­a;del Ángel;carolina.bautista@hotmail.com;Caballero y Caballero S.R.L;1981-05-26;94.31;HOMBRE
328;Elena;Nájera;agustina.gallegos@prodigy.net.mx;Ramos Ramos S.A.;1981-05-27;45.45;HOMBRE
329;Karina;Salas;adela.nava@hotmail.com;Montiel S.A. de C.V.;1981-05-28;36.87;HOMBRE
330;Graciela;Félix;miguel ángel.leal@prodigy.net.mx;Cabrera Cabrera S.A.B.;1981-05-29;32.36;HOMBRE
331;Luis;Espinoza;angelina.reyna@hotmail.com;Rojas Rojas S.A. de C.V.;1981-05-30;10.11;HOMBRE
332;Manuela;Vargas;cecilia.meléndez@gmail.com;Carbajal Carbajal S.A. de C.V.;1981-05-31;27.88;HOMBRE
333;Alejandro;Francisco;ángel.armenta@yahoo.com;Fondo Acevedo S.R.L;1981-06-01;26.31;HOMBRE
334;Araceli;Fernández;martina.alfaro@yahoo.com;Figueroa y Figueroa S.A.;1981-06-02;63.21;HOMBRE
335;FĂ©lix;Macías;rosa.pacheco@yahoo.com;del Ángel del Ángel S.A. de C.V.;1981-06-03;18.56;HOMBRE
336;Ramiro;Ávalos;carmen.cázares@hotmail.com;Valle Valle S.A.;1981-06-04;54.29;HOMBRE
337;Gabriel;Ocampo;martina.toledo@hotmail.com;Guillén Guillén S.C.;1981-06-05;91.28;HOMBRE
338;Ramiro;Balderas;maribel.pérez@hotmail.com;Reséndiz Reséndiz S.C.;1981-06-06;78.45;HOMBRE
339;RubĂ©n;Ruiz;margarita.díaz@gmail.com;Olivares Olivares S.A.;1981-06-07;61.16;HOMBRE
340;Luis Alberto;Calderón;araceli.muñiz@hotmail.com;"Mora; Mora y Mora Asociados S.A. de C.V.";1981-06-08;22.44;HOMBRE
341;Ăngel;Guillén;maribel.mercado@yahoo.com;Olvera S.A.;1981-06-09;48.79;HOMBRE
342;Martina;Villanueva;victoria.torres@prodigy.net.mx;Rivera y Rivera S.R.L;1981-06-10;10.86;HOMBRE
343;Eva;Saldaña;israel.martínez@hotmail.com;Olivares y Olivares S.R.L;1981-06-11;32.23;HOMBRE
344;Juan Carlos;Ángeles;maría.muñoz@yahoo.com;Rendón S.A. de C.V.;1981-06-12;72.25;HOMBRE
345;Paula;Carrera;antonio.mata@hotmail.com;Grupo Financiero Ocampo S.A.B.;1981-06-13;78.67;HOMBRE
346;Gregorio;Meza;josé alberto.montes@hotmail.com;"Flores; Flores y Flores Asociados S.A. de C.V.";1981-06-14;22.29;HOMBRE
347;Norma;Hernández;rodrigo.palacios@yahoo.com;Mondragón y Mondragón S.C.;1981-06-15;90.24;HOMBRE
348;ConcepciĂłn;Zamudio;susana.carrillo@prodigy.net.mx;Varela y Varela S.A.;1981-06-16;93.98;HOMBRE
349;Carlos;Serrano;esther.chávez@gmail.com;Luna Luna S.A.B.;1981-06-17;12.74;HOMBRE
350;JosĂ© Alberto;de León;rosalba.rangel@prodigy.net.mx;Grupo Financiero Treviño S.A. de C.V.;1981-06-18;8.76;HOMBRE
351;Pedro;Valencia;marcela.vega@prodigy.net.mx;"Rosales; Rosales y Rosales Asociados S.C.";1981-06-19;87.22;HOMBRE
352;RocĂ­o;Alonso;beatriz.flores@yahoo.com;Gámez S.A.;1981-06-20;5.34;HOMBRE
353;Joel;Aguilar;rocío.alonso@yahoo.com;Mata Mata S.C.;1981-06-21;68.57;HOMBRE
354;Jorge Alberto;Rentería;daniel.saldaña@hotmail.com;Morales y Morales S.R.L;1981-06-22;51.39;HOMBRE
355;Roberto;Vargas;david.jímenez@gmail.com;Benítez y Benítez S.A.B.;1981-06-23;82.96;HOMBRE
356;Martha;Zavala;josé alfredo.solís@hotmail.com;Camacho S.R.L;1981-06-24;91.6;HOMBRE
357;Sonia;Domínguez;andrea.armenta@gmail.com;Hurtado y Hurtado S.A.;1981-06-25;58.07;HOMBRE
358;Eduardo;Quintero;sergio.aguilar@prodigy.net.mx;"Medina; Medina y Medina Asociados S.A.B.";1981-06-26;2.34;HOMBRE
359;Roberto;Treviño;gregorio.arreola@prodigy.net.mx;Grupo Financiero Córdova S.A. de C.V.;1981-06-27;91.58;HOMBRE
360;Erika;Uribe;juan.palacios@gmail.com;Baltazar Baltazar S.R.L;1981-06-28;53.33;HOMBRE
361;Rosa MarĂ­a;Hurtado;francisco.arroyo@gmail.com;Espinosa Espinosa S.A.B.;1981-06-29;52.42;HOMBRE
362;Mario;Huerta;mario alberto.trujillo@hotmail.com;Zamudio Zamudio S.A. de C.V.;1981-06-30;28.39;HOMBRE
363;Jorge Luis;Enríquez;omar.mata@prodigy.net.mx;Fondo Toledo S.A.;1981-07-01;54.77;HOMBRE
364;Celia;Zaragoza;beatriz.arellano@prodigy.net.mx;Vázquez S.C.;1981-07-02;47.46;HOMBRE
365;MarĂ­a de Lourdes;Lira;julio.camacho@hotmail.com;Sociedad Segura S.A.;1981-07-03;51.75;HOMBRE
366;Ignacio;Flores;luis.herrera@gmail.com;Castañeda Castañeda S.A. de C.V.;1981-07-04;8.61;HOMBRE
367;LucĂ­a;Olvera;marcela.cuevas@gmail.com;Ayala Ayala S.A. de C.V.;1981-07-05;48.22;HOMBRE
368;Alberto;Nájera;benjamín.rivera@hotmail.com;Villegas S.A.;1981-07-06;38.97;HOMBRE
369;Yolanda;Ramírez;marcela.nieto@gmail.com;Lara S.A.;1981-07-07;90.5;HOMBRE
370;Martina;Alvarado;guillermina.soriano@yahoo.com;Fondo Blanco S.R.L;1981-07-08;97.12;HOMBRE
371;HĂ©ctor;de la Torre;samuel.escamilla@prodigy.net.mx;"Zavala; Zavala y Zavala Asociados S.A.B.";1981-07-09;5.45;HOMBRE
372;Adriana;Ventura;fabiola.morales@hotmail.com;de León S.R.L;1981-07-10;3.13;HOMBRE
373;MoisĂ©s;Márquez;irene.sierra@hotmail.com;Santana y Santana S.A.;1981-07-11;7.52;HOMBRE
374;Teresa;Torres;reyna.sierra@gmail.com;Guillén Guillén S.R.L;1981-07-12;17.2;HOMBRE
375;Elizabeth;Alvarado;reyna.romo@prodigy.net.mx;Pineda S.A.;1981-07-13;86.79;HOMBRE
376;SaĂşl;Zárate;alberto.de león@hotmail.com;Alvarado S.A. de C.V.;1981-07-14;31;HOMBRE
377;Lidia;Santillán;benito.rodríguez@hotmail.com;Pérez y Pérez S.A.B.;1981-07-15;23.71;HOMBRE
378;Juan Carlos;Robles;jesús.islas@yahoo.com;Grupo Velasco S.R.L;1981-07-16;48.62;HOMBRE
379;Olivia;Salas;omar.mata@hotmail.com;"Galindo; Galindo y Galindo Asociados S.A.";1981-07-17;30.45;HOMBRE
380;Sara;de Jesús;paula.arias@hotmail.com;Leal Leal S.R.L;1981-07-18;94.56;HOMBRE
381;VĂ­ctor;Contreras;ángela.hurtado@yahoo.com;Grupo Muñiz S.A.;1981-07-19;99.55;HOMBRE
382;Catalina;Campos;socorro.duarte@hotmail.com;Reyna S.A.B.;1981-07-20;6.85;HOMBRE
383;Claudia;Valdés;luis alberto.galván@hotmail.com;Serrano Serrano S.C.;1981-07-21;97.03;HOMBRE
384;Marcela;Estrada;rosa maría.bautista@hotmail.com;"Campos; Campos y Campos Asociados S.A.";1981-07-22;22.13;HOMBRE
385;Graciela;Rubio;rogelio.ríos@yahoo.com;Grupo Financiero Magaña S.A.B.;1981-07-23;89.6;HOMBRE
386;Margarita;Muñiz;jaime.ponce@gmail.com;Colegio Salazar S.A.B.;1981-07-24;89.37;HOMBRE
387;TomĂˇs;Fernández;alejandra.covarrubias@hotmail.com;Rico y Rico S.C.;1981-07-25;59.59;HOMBRE
388;JosĂ© Juan;Huerta;irene.quiroz@hotmail.com;Corona y Corona S.R.L;1981-07-26;19.6;HOMBRE
389;Francisca;Rosales;mario alberto.leal@prodigy.net.mx;Téllez Téllez S.C.;1981-07-27;72.01;HOMBRE
390;Marcela;Serrano;ernesto.vázquez@gmail.com;Guerrero Guerrero S.A.B.;1981-07-28;82.43;HOMBRE
391;Andrea;Castellanos;petra.lugo@prodigy.net.mx;Arroyo S.C.;1981-07-29;96.79;HOMBRE
392;Daniel;Gutiérrez;karina.garcía@prodigy.net.mx;Colegio Valdés S.A. de C.V.;1981-07-30;48.32;HOMBRE
393;Alicia;Fernández;consuelo.espinosa@yahoo.com;"Arias; Arias y Arias Asociados S.A. de C.V.";1981-07-31;7.15;HOMBRE
394;Ă“scar;Castañeda;jorge alberto.vera@hotmail.com;Camacho y Camacho S.R.L;1981-08-01;79.61;HOMBRE
395;Sara;Arteaga;maría de lourdes.balderas@yahoo.com;May y May S.A. de C.V.;1981-08-02;18.88;HOMBRE
396;NicolĂˇs;Magaña;armando.amador@yahoo.com;"Chávez; Chávez y Chávez Asociados S.R.L";1981-08-03;36.95;HOMBRE
397;Celia;Serrano;yolanda.rentería@hotmail.com;Solís S.C.;1981-08-04;71.41;HOMBRE
398;Isabel;Rico;fernando.bautista@yahoo.com;Arenas S.A. de C.V.;1981-08-05;62.58;HOMBRE
399;Teresa;Campos;guillermo.ramos@prodigy.net.mx;Molina Molina S.R.L;1981-08-06;92.84;HOMBRE
400;Elena;Ortega;humberto.galicia@yahoo.com;Sotelo Sotelo S.R.L;1981-08-07;60.83;HOMBRE
401;Araceli;Rico;ángela.meza@prodigy.net.mx;Tapia y Tapia S.C.;1981-08-08;19.76;HOMBRE
402;Alejandro;Moreno;elvira.guillén@gmail.com;"Ocampo; Ocampo y Ocampo Asociados S.A.B.";1981-08-09;34.07;HOMBRE
403;Lorena;Olvera;joel.carrillo@gmail.com;Trujillo S.A.B.;1981-08-10;36.24;HOMBRE
404;Abel;Sosa;paula.ortiz@hotmail.com;Vázquez Vázquez S.A. de C.V.;1981-08-11;70.31;HOMBRE
405;Celia;Gutiérrez;carmen.solano@prodigy.net.mx;Grupo Financiero Delgado S.C.;1981-08-12;53.8;HOMBRE
406;Elvira;Vidal;socorro.tovar@gmail.com;Morales S.C.;1981-08-13;73.03;HOMBRE
407;Edith;Cortés;juan carlos.pérez@gmail.com;Félix Félix S.R.L;1981-08-14;17.82;HOMBRE
408;Salvador;Salazar;maría luisa.rivera@prodigy.net.mx;"Peralta; Peralta y Peralta Asociados S.A. de C.V.";1981-08-15;87.13;HOMBRE
409;JosĂ© Luis;Alvarado;patricia.hernández@yahoo.com;May S.A.;1981-08-16;10.81;HOMBRE
410;Vicente;Rentería;mario.mata@hotmail.com;"Félix; Félix y Félix Asociados S.A.";1981-08-17;2.94;HOMBRE
411;Maribel;Serrano;marisol.mora@hotmail.com;Colegio Rico S.A.;1981-08-18;36.62;HOMBRE
412;Marco Antonio;Correa;martha.gálvez@yahoo.com;Bautista y Bautista S.A.B.;1981-08-19;16.5;HOMBRE
413;Jorge Luis;Montoya;yolanda.díaz@hotmail.com;Arenas Arenas S.R.L;1981-08-20;43.64;HOMBRE
414;MartĂ­n;Aparicio;miguel ángel.del ángel@hotmail.com;Fondo Velázquez S.R.L;1981-08-21;25.72;HOMBRE
415;Ernesto;Rico;margarita.francisco@gmail.com;Fondo Barrera S.C.;1981-08-22;51.41;HOMBRE
416;Ernesto;Zaragoza;alfonso.de jesús@yahoo.com;Miranda S.A.B.;1981-08-23;42.25;HOMBRE
417;Fabiola;Bonilla;pedro.lara@prodigy.net.mx;Vargas y Vargas S.A. de C.V.;1981-08-24;31.41;HOMBRE
418;Susana;Yáñez;arturo.ayala@gmail.com;Grupo Andrade S.A. de C.V.;1981-08-25;75.39;HOMBRE
419;Javier;Trujillo;alfredo.rubio@gmail.com;Grupo Baltazar S.R.L;1981-08-26;97.51;HOMBRE
420;Vicente;Ortiz;jorge.lópez@prodigy.net.mx;"Serrano; Serrano y Serrano Asociados S.A.";1981-08-27;81.52;HOMBRE
421;Virginia;Alonso;araceli.duarte@hotmail.com;"Yáñez; Yáñez y Yáñez Asociados S.A. de C.V.";1981-08-28;46.45;HOMBRE
422;Pablo;Zamora;adela.guillén@hotmail.com;"Guzmán; Guzmán y Guzmán Asociados S.A.B.";1981-08-29;88.78;HOMBRE
423;Angelina;Morales;bertha.ordoñez@hotmail.com;Santillán Santillán S.A.B.;1981-08-30;58.91;HOMBRE
424;Estela;Moreno;sandra.olvera@gmail.com;Gaytán y Gaytán S.C.;1981-08-31;76.75;HOMBRE
425;Virginia;Amador;abel.gómez@gmail.com;Pineda S.A.;1981-09-01;4.57;HOMBRE
426;Rafael;May;gabriela.salas@prodigy.net.mx;"Áviles; Áviles y Áviles Asociados S.R.L";1981-09-02;73.47;HOMBRE
427;Ana MarĂ­a;Calderón;martín.madrigal@hotmail.com;Serrano S.A.;1981-09-03;60.27;HOMBRE
428;Edgar;Zúñiga;jorge.armenta@gmail.com;Villegas Villegas S.C.;1981-09-04;93.24;HOMBRE
429;Elizabeth;Franco;marina.zavala@prodigy.net.mx;Grupo Financiero de Jesús S.A. de C.V.;1981-09-05;41.99;HOMBRE
430;Miguel;Olivares;nicolás.gallegos@hotmail.com;"Valdés; Valdés y Valdés Asociados S.R.L";1981-09-06;77.37;HOMBRE
431;Lorena;de Jesús;israel.zaragoza@hotmail.com;Carrillo Carrillo S.C.;1981-09-07;5.59;HOMBRE
432;MĂłnica;Valencia;héctor.quintero@prodigy.net.mx;Colegio Zamudio S.A. de C.V.;1981-09-08;72.6;HOMBRE
433;Sara;Amador;andrea.mendoza@hotmail.com;Cordero y Cordero S.R.L;1981-09-09;95.52;HOMBRE
434;Santiago;Treviño;rubén.arias@hotmail.com;"Gallardo; Gallardo y Gallardo Asociados S.C.";1981-09-10;28.75;HOMBRE
435;Elizabeth;Zamora;adriana.zavala@gmail.com;Rosales y Rosales S.C.;1981-09-11;18.17;HOMBRE
